Item_No,Com_F1_PosVal,Com_F2_BroadPos,Com_F3_NegVal,Com_F4_NegPhys,Com_F5_Prog,Com_F6_PosAtt,Com_F7_Soc
293,,,0.311,0.364,,,
221,,,,0.347,,,
185,,-0.283,0.268,0.34,,,
226,,,,0.307,,,
29,,,,-0.268,,,
295,,,,0.266,,,
2,,,,,,,
273,,,,,0.749,,
47,,,,,0.731,,
283,,,,,0.706,,
18,,0.253,,,0.663,,
159,,,,,0.658,,
160,,,,,0.65,,
242,,,,,0.647,,
104,,,,,0.611,,
75,,,,,0.595,,
184,,0.337,,,0.556,,
258,,,,,0.545,,
272,,,,,0.527,,
132,,0.323,,,0.527,,
76,,0.356,,,0.519,,
243,,-0.251,,,0.504,,
103,,,0.261,,0.495,,
259,,,,,0.476,,
225,,0.345,,,0.461,,
48,,0.4,,,0.446,0.263,
131,,0.258,0.269,,0.44,,
183,,0.254,,,0.338,,
148,,,,,0.332,,
300,,,,-0.259,0.291,,
276,,,,,,,
101,,,,,,0.733,
12,,,,,,0.678,
99,,,,0.275,,0.663,
71,,,,,,0.643,
181,,,-0.368,,,0.64,
45,,,,,,0.637,
127,,,,,,0.635,
73,,0.309,,,,0.603,
155,,,,,0.264,0.565,0.251
42,,,,0.337,,0.547,
129,,,,,,0.502,
15,,0.355,,,,0.465,
157,,0.33,,,,0.455,
282,,,,,,0.442,
194,,,-0.288,,,0.429,
39,,,,,,0.333,0.304
144,,,,,,0.255,
60,,,,,,,
177,,,,,,,
31,,,,,,,
36,,,,,,,0.832
5,-0.259,,,,,,0.788
121,,,,,,,0.669
93,,,,,,,0.651
176,,,,,,,0.645
149,,,,,,,0.567
66,,,,,0.293,,0.51
68,,,,,,0.329,0.509
94,,,,,,0.282,0.496
6,,,,,,,0.494
152,,,0.399,,-0.32,0.266,0.492
96,,,,,,0.388,0.476
8,,,0.429,,-0.314,0.26,0.473
122,,0.294,,,,,0.47
124,,,,,,0.374,0.435
222,,,,,,,0.372
255,,,0.35,,,,0.359
21,,,-0.318,,,,0.333
30,0.288,,,,,,0.324
65,,,,,,,0.274
162,,,,,,,0.252
